Identifiant,"Date (AAAA/MM/JJ)",Heure,Nom,"Région épicentrale",Choc,"X RGF93/L93","Y RGF93/L93","Latitude en WGS 84","Longitude en WGS 84","Intensité épicentrale","Qualité intensité épicentrale"
880034,1970/01/10,"21 h 48 min 36 sec","PLAINE LORRAINE (SAUVILLE)",VOSGES,,903169.14,6788661.85,48.17,5.73,,
570013,1970/02/23,"14 h 42 min 53 sec","BASSIN SARROIS (HOMBOURG)",LORRAINE,,977232.15,6899287.64,49.13,6.80,4,"ASSEZ SURE"
1140060,1970/03/12,"17 h",ANDORRE,ANDORRE,PRECURSEUR,552769.90,6198035.46,42.87,1.20,,
1140061,1970/03/13,"2 h",ANDORRE,ANDORRE,"SECOUSSE INDIVIDUALISEE D UN ESSAIM",577093.76,6186403.69,42.77,1.50,,
1140036,1970/03/16,"6 h 53 min 47 sec",ANDORRE,ANDORRE,"SECOUSSE INDIVIDUALISEE D UN ESSAIM",601419.35,6169301.89,42.62,1.80,,
1140037,1970/03/18,"2 h 47 min 16 sec","CERDAGNE (BOURG-MADAME)","PYRENEES ORIENTALES",,613469.97,6148733.85,42.43,1.95,4,INCERTAINE
860029,1970/04/25,"2 h 17 min 57 sec","BRANDES DU HAUT-POITOU (JARDRES)",POITOU,,514978.54,6612086.20,46.58,0.58,3.5,INCERTAINE
350040,1970/06/07,"0 h 46 min 35 sec","PAYS DE FOUGERES",BRETAGNE,,391838.28,6821063.50,48.42,-1.17,4,"ASSEZ SURE"
1130093,1970/06/18,"9 h 5 min 53 sec","COTE D'AZUR (NICE ?)","ALPES MARITIMES",,1056952.87,6304576.17,43.75,7.43,3.5,INCERTAINE
880035,1970/12/15,"19 h","HAUTES-VOSGES (REMIREMONT)",VOSGES,,969635.24,6772799.73,48.00,6.62,4.5,"ASSEZ SURE"
880036,1970/12/16,"11 h 50 min","HAUTES-VOSGES (REMIREMONT)",VOSGES,REPLIQUE,969635.24,6772799.73,48.00,6.62,,
880037,1970/12/16,"15 h 30 min","HAUTES-VOSGES (REMIREMONT)",VOSGES,REPLIQUE,969635.24,6772799.73,48.00,6.62,,
640508,1971/01/12,"9 h 15 min","BEARN (MONTORY)","PYRENEES OCCIDENTALES",,389165.73,6229816.01,43.10,-0.82,,"INFORMATION ISOLÉE"
380097,1971/01/14,"3 h 5 min 44 sec","BELLEDONNE (VIZILLE)",DAUPHINE,,918953.32,6446533.57,45.08,5.78,5,"ASSEZ SURE"
560040,1971/01/31,"23 h 59 min 8 sec","VANNETAIS (ETEL-CARNAC)",BRETAGNE,,237381.43,6743956.86,47.63,-3.17,3,"ASSEZ SURE"
440058,1971/02/03,"19 h 45 min 42 sec","ESTUAIRE DE LA LOIRE (DONGES)","PAYS NANTAIS ET VENDEEN",,316264.90,6703060.84,47.32,-2.08,4,"ASSEZ SURE"
60103,1971/03/24,"8 h 21 min 52 sec","MONTAGNES DU HAUT-VAR (VALBERG-PEONE)","ALPES MARITIMES",,1052622.96,6309899.22,43.80,7.38,3.5,"INFORMATION ISOLÉE"
50083,1971/05/27,"14 h 53 min 40 sec","QUEYRAS (MONT-DAUPHIN)","ALPES DAUPHINOISES",PRECURSEUR,986586.64,6402959.79,44.67,6.62,,
50079,1971/06/06,"21 h 59 min 11 sec","QUEYRAS (MONT-DAUPHIN)","ALPES DAUPHINOISES",,991865.49,6403203.97,44.67,6.68,5.5,"ASSEZ SURE"
50084,1971/06/11,,"QUEYRAS (MONT-DAUPHIN)","ALPES DAUPHINOISES",REPLIQUE,986586.64,6402959.79,44.67,6.62,,
640509,1971/06/16,"4 h 42 min","BEARN (MONTORY)","PYRENEES OCCIDENTALES",,389165.73,6229816.01,43.10,-0.82,4,"INFORMATION ISOLÉE"
390015,1971/06/21,"5 h 2 min 48 sec","JURA (VAUX-LES-SAINT-CLAUDE)",FRANCHE-COMTE,PRECURSEUR,910153.29,6586979.51,46.35,5.73,,
390016,1971/06/21,"7 h 25 min 32 sec","JURA (VAUX-LES-SAINT-CLAUDE)",FRANCHE-COMTE,,908808.76,6588785.12,46.37,5.72,7,SURE
390017,1971/06/21,"8 h 25 min","JURA (VAUX-LES-SAINT-CLAUDE)",FRANCHE-COMTE,REPLIQUE,910153.29,6586979.51,46.35,5.73,,
390018,1971/07/02,"0 h 5 min","JURA (VAUX-LES-SAINT-CLAUDE)",FRANCHE-COMTE,REPLIQUE,910153.29,6586979.51,46.35,5.73,,
390019,1971/07/02,"5 h 20 min","JURA (VAUX-LES-SAINT-CLAUDE)",FRANCHE-COMTE,REPLIQUE,910153.29,6586979.51,46.35,5.73,,
390020,1971/07/08,"22 h 25 min","JURA (LAVANCIA-EPERCY)",FRANCHE-COMTE,,906373.40,6584997.80,46.33,5.68,,
50080,1971/08/15,"0 h 36 min 45 sec","QUEYRAS (CHATEAU-VILLE-VIEILLE)","ALPES DAUPHINOISES",,997492.87,6423855.73,44.85,6.77,5,"ASSEZ SURE"
50094,1971/08/15,"0 h 48 min 47 sec","QUEYRAS (ABRIES)","ALPES DAUPHINOISES",REPLIQUE,1010922.08,6418950.88,44.80,6.93,,
880038,1971/09/03,"21 h 33 min 8 sec","HAUTES-VOSGES (RAMBERVILLERS, DESTORD)",VOSGES,,969428.54,6804310.96,48.28,6.63,5,"ASSEZ SURE"
650403,1971/09/07,"7 h 54 min 26 sec","BIGORRE (CAMPAN)","PYRENEES CENTRALES",,464529.51,6209923.60,42.95,0.12,5,"ASSEZ SURE"
200011,1971/09/29,"20 h 47 min 32 sec","CASTAGNICCIA (SAN GIULIANO)",CORSE,,1234920.84,6155296.61,42.30,9.48,3.5,INCERTAINE
850042,1971/11/30,"5 h 23 min 18 sec","COTE VENDEENNE (ST-GILLES-CROIX-DE-VIE)","PAYS NANTAIS ET VENDEEN",,302963.13,6635289.52,46.70,-2.20,4.5,ARBITRAIRE
300015,1971/12/10,"0 h 2 min 41 sec","COTES DU RHONE (PUJAUT)",CEVENNES,,840226.23,6329442.61,44.05,4.75,4.5,INCERTAINE
300023,1971/12/11,"7 h 45 min","COTES DU RHONE (PUJAUT)",CEVENNES,REPLIQUE,843022.19,6323948.26,44.00,4.78,4,"INFORMATION ISOLÉE"
860035,1971/12/17,"4 h 46 min 40 sec","PLAINES DU HAUT-POITOU (W. LATILLE ?)",POITOU,,495970.32,6616402.17,46.62,0.33,4,INCERTAINE
40135,1972/01/21,"1 h 9 min 26 sec","HAUT-VERDON (CASTELLANE)","ALPES PROVENCALES",,982707.30,6311961.93,43.85,6.52,4,INCERTAINE
640477,1972/01/23,"21 h 37 min","BEARN (LACQ)","PYRENEES OCCIDENTALES","SECOUSSE INDIVIDUALISEE D UN ESSAIM",410850.33,6258479.39,43.37,-0.57,,
640367,1972/01/24,"2 h 46 min 31 sec","BEARN (LACQ)","PYRENEES OCCIDENTALES","SECOUSSE INDIVIDUALISEE D UN ESSAIM",410850.33,6258479.39,43.37,-0.57,4,"ASSEZ SURE"
640478,1972/01/24,"4 h","BEARN (LACQ)","PYRENEES OCCIDENTALES","SECOUSSE INDIVIDUALISEE D UN ESSAIM",410850.33,6258479.39,43.37,-0.57,,
640368,1972/01/25,"4 h 15 min","BEARN (LACQ)","PYRENEES OCCIDENTALES","SECOUSSE INDIVIDUALISEE D UN ESSAIM",410850.33,6258479.39,43.37,-0.57,,
640479,1972/01/25,"9 h 15 min","BEARN (LACQ)","PYRENEES OCCIDENTALES","SECOUSSE INDIVIDUALISEE D UN ESSAIM",410850.33,6258479.39,43.37,-0.57,,
640480,1972/01/25,"15 h 15 min","BEARN (LACQ)","PYRENEES OCCIDENTALES","SECOUSSE INDIVIDUALISEE D UN ESSAIM",410850.33,6258479.39,43.37,-0.57,,
640481,1972/02/02,"23 h","BEARN (LACQ)","PYRENEES OCCIDENTALES","SECOUSSE INDIVIDUALISEE D UN ESSAIM",410850.33,6258479.39,43.37,-0.57,,
640482,1972/02/02,"23 h 30 min","BEARN (LACQ)","PYRENEES OCCIDENTALES","SECOUSSE INDIVIDUALISEE D UN ESSAIM",410850.33,6258479.39,43.37,-0.57,,
860030,1972/03/17,"5 h 33 min 28 sec","CHATELLERAUDAIS (PUSSIGNY)",POITOU,,515071.78,6656529.30,46.98,0.57,5,SURE
860034,1972/03/17,"6 h 16 min 37 sec","CHATELLERAUDAIS (PUSSIGNY)",POITOU,REPLIQUE,515071.78,6656529.30,46.98,0.57,,
50095,1972/03/28,"1 h 53 min 13 sec","BRIANCONNAIS (LA SALLE)","ALPES DAUPHINOISES",,981206.32,6434217.71,44.95,6.57,,
390021,1972/03/31,"3 h 54 min 31 sec","PLATEAUX JURASSIENS (CLAIRVAUX-LES-LACS)",FRANCHE-COMTE,,910531.94,6612921.10,46.58,5.75,4.5,"ASSEZ SURE"
