Identifiant,"Date (AAAA/MM/JJ)",Heure,Nom,"Région épicentrale",Choc,"X RGF93/L93","Y RGF93/L93","Latitude en WGS 84","Longitude en WGS 84","Intensité épicentrale",
880034,1970/01/10,"21 h 48 min 36 sec","PLAINE LORRAINE (SAUVILLE)",VOSGES,,903169.14,6788661.85,48.17,5.73,,
880034,1970/01/10,"21 h 48 min 36 sec","PLAINE LORRAINE (SAUVILLE)",VOSGES,,903169.14,6788661.85,48.17,5.73,,
570013,1970/02/23,"14 h 42 min 53 sec","BASSIN SARROIS (HOMBOURG)",LORRAINE,,977232.15,6899287.64,49.13,6.80,4,"ASSEZ SURE"
1140060,1970/03/12,"17 h",ANDORRE,ANDORRE,PRECURSEUR,552769.90,6198035.46,42.87,1.20,,
1140061,1970/03/13,"2 h",ANDORRE,ANDORRE,"SECOUSSE INDIVIDUALISEE D UN ESSAIM",577093.76,6186403.69,42.77,1.50,,
1140036,1970/03/16,"6 h 53 min 47 sec",ANDORRE,ANDORRE,"SECOUSSE INDIVIDUALISEE D UN ESSAIM",601419.35,6169301.89,42.62,1.80,,
1140037,1970/03/18,"2 h 47 min 16 sec","CERDAGNE (BOURG-MADAME)","PYRENEES ORIENTALES",,613469.97,6148733.85,42.43,1.95,4,INCERTAINE
860029,1970/04/25,"2 h 17 min 57 sec","BRANDES DU HAUT-POITOU (JARDRES)",POITOU,,514978.54,6612086.20,46.58,0.58,3.5,INCERTAINE
350040,1970/06/07,"0 h 46 min 35 sec","PAYS DE FOUGERES",BRETAGNE,,391838.28,6821063.50,48.42,-1.17,4,"ASSEZ SURE"
1130093,1970/06/18,"9 h 5 min 53 sec","COTE D'AZUR (NICE ?)","ALPES MARITIMES",,1056952.87,6304576.17,43.75,7.43,3.5,INCERTAINE
880035,1970/12/15,"19 h","HAUTES-VOSGES (REMIREMONT)",VOSGES,,969635.24,6772799.73,48.00,6.62,4.5,"ASSEZ SURE"
880036,1970/12/16,"11 h 50 min","HAUTES-VOSGES (REMIREMONT)",VOSGES,REPLIQUE,969635.24,6772799.73,48.00,6.62,,
880037,1970/12/16,"15 h 30 min","HAUTES-VOSGES (REMIREMONT)",VOSGES,REPLIQUE,969635.24,6772799.73,48.00,6.62,,
640508,1971/01/12,"9 h 15 min","BEARN (MONTORY)","PYRENEES OCCIDENTALES",,389165.73,6229816.01,43.10,-0.82,,"INFORMATION ISOLÉE"
380097,1971/01/14,"3 h 5 min 44 sec","BELLEDONNE (VIZILLE)",DAUPHINE,,918953.32,6446533.57,45.08,5.78,5,"ASSEZ SURE"
560040,1971/01/31,"23 h 59 min 8 sec","VANNETAIS (ETEL-CARNAC)",BRETAGNE,,237381.43,6743956.86,47.63,-3.17,3,"ASSEZ SURE"
440058,1971/02/03,"19 h 45 min 42 sec","ESTUAIRE DE LA LOIRE (DONGES)","PAYS NANTAIS ET VENDEEN",,316264.90,6703060.84,47.32,-2.08,4,"ASSEZ SURE"
60103,1971/03/24,"8 h 21 min 52 sec","MONTAGNES DU HAUT-VAR (VALBERG-PEONE)","ALPES MARITIMES",,1052622.96,6309899.22,43.80,7.38,3.5,"INFORMATION ISOLÉE"
50083,1971/05/27,"14 h 53 min 40 sec","QUEYRAS (MONT-DAUPHIN)","ALPES DAUPHINOISES",PRECURSEUR,986586.64,6402959.79,44.67,6.62,,
